state,year,crop,yield_bu_acre
ALABAMA,2010,CORN,99.3780487804878
ALABAMA,2010,SOYBEANS,24.608333333333334
ALABAMA,2011,CORN,96.81162790697674
ALABAMA,2011,SOYBEANS,30.659999999999997
ALABAMA,2012,CORN,105.47954545454546
ALABAMA,2012,SOYBEANS,43.71764705882353
ALABAMA,2013,CORN,128.102
ALABAMA,2013,SOYBEANS,41.60666666666667
ALABAMA,2014,CORN,140.5595238095238
ALABAMA,2014,SOYBEANS,38.595652173913045
ALABAMA,2015,CORN,137.04848484848486
ALABAMA,2015,SOYBEANS,37.66
ALABAMA,2016,CORN,119.36341463414634
ALABAMA,2016,SOYBEANS,32.223076923076924
ALABAMA,2017,CORN,153.13658536585368
ALABAMA,2017,SOYBEANS,43.26470588235294
ALABAMA,2018,CORN,147.1970588235294
ALABAMA,2018,SOYBEANS,39.44642857142857
ALABAMA,2019,CORN,135.78857142857143
ALABAMA,2019,SOYBEANS,35.00714285714286
ALABAMA,2020,CORN,143.98333333333335
ALABAMA,2020,SOYBEANS,41.351851851851855
ALABAMA,2021,CORN,157.1
ALABAMA,2021,SOYBEANS,44.888000000000005
ALABAMA,2022,CORN,118.75294117647059
ALABAMA,2022,SOYBEANS,41.608000000000004
ALABAMA,2023,CORN,156.6236842105263
ALABAMA,2023,SOYBEANS,41.917857142857144
ALABAMA,2024,CORN,109.26666666666667
ALABAMA,2024,SOYBEANS,33.412
ARIZONA,2010,WHEAT,104.61666666666667
ARIZONA,2011,WHEAT,93.04
ARIZONA,2013,WHEAT,98.08
ARIZONA,2015,WHEAT,100.38571428571429
ARIZONA,2016,WHEAT,99.06666666666666
ARIZONA,2017,WHEAT,103.3
ARIZONA,2018,WHEAT,104.92
ARIZONA,2020,WHEAT,94.83333333333333
ARIZONA,2021,WHEAT,81.32000000000001
ARIZONA,2022,WHEAT,113.28
ARIZONA,2023,WHEAT,90.3
ARIZONA,2025,WHEAT,114.96666666666665
ARKANSAS,2010,CORN,143.44358974358974
ARKANSAS,2010,SOYBEANS,30.398058252427184
ARKANSAS,2010,WHEAT,52.96071428571429
ARKANSAS,2011,CORN,130.621875
ARKANSAS,2011,SOYBEANS,32.9054347826087
ARKANSAS,2011,WHEAT,54.15483870967742
ARKANSAS,2012,CORN,165.72903225806454
ARKANSAS,2012,SOYBEANS,37.78133333333333
ARKANSAS,2012,WHEAT,52.49310344827586
ARKANSAS,2013,CORN,176.39615384615385
ARKANSAS,2013,SOYBEANS,38.699999999999996
ARKANSAS,2013,WHEAT,59.986666666666665
ARKANSAS,2014,CORN,179.553125
ARKANSAS,2014,SOYBEANS,44.49012345679012
ARKANSAS,2014,WHEAT,59.80714285714286
ARKANSAS,2015,CORN,175.32758620689654
ARKANSAS,2015,SOYBEANS,44.512307692307694
ARKANSAS,2015,WHEAT,53.53478260869565
ARKANSAS,2016,CORN,167.40740740740742
ARKANSAS,2016,SOYBEANS,42.48823529411764
ARKANSAS,2016,WHEAT,53.0875
ARKANSAS,2017,CORN,179.90689655172415
ARKANSAS,2017,SOYBEANS,46.70933333333333
ARKANSAS,2017,WHEAT,55.82857142857143
ARKANSAS,2018,CORN,179.52222222222224
ARKANSAS,2018,SOYBEANS,46.18333333333334
ARKANSAS,2018,WHEAT,54.17777777777778
ARKANSAS,2019,CORN,170.78620689655173
ARKANSAS,2019,SOYBEANS,47.19285714285714
ARKANSAS,2019,WHEAT,53.13333333333333
ARKANSAS,2020,CORN,180.83571428571426
ARKANSAS,2020,SOYBEANS,47.349999999999994
ARKANSAS,2020,WHEAT,57.4125
ARKANSAS,2021,CORN,179.11599999999999
ARKANSAS,2021,SOYBEANS,49.077777777777776
ARKANSAS,2021,WHEAT,54.154545454545456
ARKANSAS,2022,CORN,168.93214285714288
ARKANSAS,2022,SOYBEANS,48.446875
ARKANSAS,2022,WHEAT,51.7
ARKANSAS,2023,CORN,182.28333333333333
ARKANSAS,2023,SOYBEANS,50.44666666666667
ARKANSAS,2023,WHEAT,56.96470588235294
ARKANSAS,2024,CORN,182.0655172413793
ARKANSAS,2024,SOYBEANS,51.05625
ARKANSAS,2025,WHEAT,54.23333333333333
CALIFORNIA,2010,CORN,103.19565217391305
CALIFORNIA,2010,WHEAT,78.175
CALIFORNIA,2011,CORN,109.18148148148148
CALIFORNIA,2011,WHEAT,88.27619047619048
CALIFORNIA,2012,CORN,125.36296296296297
CALIFORNIA,2012,WHEAT,79.115
CALIFORNIA,2013,CORN,116.01904761904763
CALIFORNIA,2013,WHEAT,80.84615384615384
CALIFORNIA,2014,CORN,95.10666666666665
CALIFORNIA,2014,WHEAT,76.38000000000001
CALIFORNIA,2015,CORN,96.99411764705883
CALIFORNIA,2015,WHEAT,75.96875
CALIFORNIA,2016,CORN,109.82916666666667
CALIFORNIA,2016,WHEAT,84.19473684210527
CALIFORNIA,2017,CORN,59.544444444444444
CALIFORNIA,2017,WHEAT,71.71111111111111
CALIFORNIA,2018,CORN,102.01666666666667
CALIFORNIA,2018,WHEAT,78.14500000000001
CALIFORNIA,2019,CORN,86.77142857142857
CALIFORNIA,2019,WHEAT,60.029411764705884
CALIFORNIA,2020,CORN,40.59090909090909
CALIFORNIA,2020,WHEAT,88.80625
CALIFORNIA,2021,CORN,92.125
CALIFORNIA,2021,WHEAT,89.54545454545455
CALIFORNIA,2022,CORN,58.925000000000004
CALIFORNIA,2022,WHEAT,92.825
CALIFORNIA,2023,CORN,79.89444444444445
CALIFORNIA,2023,WHEAT,82.66666666666667
CALIFORNIA,2025,WHEAT,93.75
COLORADO,2010,CORN,134.96458333333334
COLORADO,2010,WHEAT,50.987096774193546
COLORADO,2011,CORN,121.51621621621622
COLORADO,2011,WHEAT,50.41612903225807
COLORADO,2012,CORN,108.51935483870967
COLORADO,2012,WHEAT,45.77307692307692
COLORADO,2013,CORN,112.62608695652175
COLORADO,2013,WHEAT,26.79375
COLORADO,2014,CORN,132.31739130434784
COLORADO,2014,WHEAT,46.824137931034485
COLORADO,2015,CORN,131.65
COLORADO,2015,WHEAT,42.24615384615385
COLORADO,2016,CORN,123.72857142857144
COLORADO,2016,WHEAT,45.8125
COLORADO,2017,CORN,141.356
COLORADO,2017,WHEAT,46.09444444444445
COLORADO,2018,CORN,118.58
COLORADO,2018,WHEAT,36.46
COLORADO,2019,CORN,129.69375
COLORADO,2019,WHEAT,53.73529411764706
COLORADO,2020,CORN,115.35454545454546
COLORADO,2020,WHEAT,32.9
COLORADO,2021,CORN,127.82941176470588
COLORADO,2021,WHEAT,38.71176470588235
COLORADO,2022,CORN,126.76842105263158
COLORADO,2022,WHEAT,22.9
COLORADO,2023,CORN,142.54117647058823
COLORADO,2023,WHEAT,45.03333333333333
COLORADO,2024,CORN,128.81052631578947
COLORADO,2025,WHEAT,41.294444444444444
DELAWARE,2010,CORN,114.46666666666665
DELAWARE,2010,SOYBEANS,32.36666666666667
DELAWARE,2011,CORN,127.36666666666667
DELAWARE,2011,SOYBEANS,40.0
DELAWARE,2012,CORN,129.56666666666666
DELAWARE,2012,SOYBEANS,43.666666666666664
DELAWARE,2013,CORN,164.14000000000001
DELAWARE,2013,SOYBEANS,40.166666666666664
DELAWARE,2014,CORN,203.8777777777778
DELAWARE,2014,SOYBEANS,48.43333333333334
DELAWARE,2015,CORN,196.54444444444445
DELAWARE,2015,SOYBEANS,40.04
DELAWARE,2016,CORN,175.75555555555556
DELAWARE,2016,SOYBEANS,45.099999999999994
DELAWARE,2017,CORN,185.8
DELAWARE,2017,SOYBEANS,50.23333333333333
DELAWARE,2018,CORN,143.5
DELAWARE,2018,SOYBEANS,42.379999999999995
DELAWARE,2019,CORN,162.14444444444445
DELAWARE,2019,SOYBEANS,46.78
DELAWARE,2020,CORN,160.31428571428572
DELAWARE,2020,SOYBEANS,50.24444444444444
DELAWARE,2021,CORN,184.1
DELAWARE,2021,SOYBEANS,51.55714285714286
DELAWARE,2022,CORN,159.29000000000002
DELAWARE,2022,SOYBEANS,42.67777777777778
DELAWARE,2023,CORN,194.1888888888889
DELAWARE,2023,SOYBEANS,46.542857142857144
DELAWARE,2024,CORN,171.95714285714286
DELAWARE,2024,SOYBEANS,46.199999999999996
GEORGIA,2010,CORN,131.48333333333332
GEORGIA,2010,SOYBEANS,27.395744680851063
GEORGIA,2010,WHEAT,41.19268292682927
GEORGIA,2011,CORN,132.29166666666666
GEORGIA,2011,SOYBEANS,23.68125
GEORGIA,2011,WHEAT,56.93333333333334
GEORGIA,2012,CORN,162.53026315789472
GEORGIA,2012,SOYBEANS,37.0462962962963
GEORGIA,2012,WHEAT,50.041818181818186
GEORGIA,2013,CORN,168.39295774647886
GEORGIA,2013,SOYBEANS,39.23653846153846
GEORGIA,2013,WHEAT,57.824
GEORGIA,2014,CORN,153.07611940298509
GEORGIA,2014,SOYBEANS,40.30952380952381
GEORGIA,2014,WHEAT,48.994339622641505
GEORGIA,2015,CORN,156.4890909090909
GEORGIA,2015,SOYBEANS,42.804545454545455
GEORGIA,2015,WHEAT,44.537142857142854
GEORGIA,2016,CORN,151.53061224489795
GEORGIA,2016,SOYBEANS,28.045833333333334
GEORGIA,2016,WHEAT,47.96818181818182
GEORGIA,2017,CORN,163.71372549019608
GEORGIA,2017,SOYBEANS,41.9625
GEORGIA,2018,CORN,165.99830508474577
GEORGIA,2018,SOYBEANS,39.72
GEORGIA,2019,CORN,145.875
GEORGIA,2019,SOYBEANS,29.69375
GEORGIA,2020,CORN,163.42105263157896
GEORGIA,2020,SOYBEANS,43.91052631578947
GEORGIA,2021,CORN,174.29999999999998
GEORGIA,2021,SOYBEANS,44.0
GEORGIA,2022,CORN,150.15833333333333
GEORGIA,2022,SOYBEANS,42.72105263157895
GEORGIA,2023,CORN,167.3422222222222
GEORGIA,2023,SOYBEANS,43.255
GEORGIA,2024,CORN,149.45
GEORGIA,2024,SOYBEANS,48.65294117647059
IDAHO,2010,WHEAT,76.024
IDAHO,2011,WHEAT,77.80377358490567
IDAHO,2012,WHEAT,71.99186046511628
IDAHO,2013,WHEAT,78.33376623376623
IDAHO,2014,WHEAT,75.5358024691358
IDAHO,2015,WHEAT,73.61688311688312
IDAHO,2016,CORN,195.925
IDAHO,2016,WHEAT,90.53387096774195
IDAHO,2017,CORN,213.5090909090909
IDAHO,2017,WHEAT,82.5377358490566
IDAHO,2018,CORN,217.1833333333333
IDAHO,2018,WHEAT,94.0603448275862
IDAHO,2019,CORN,204.5
IDAHO,2019,WHEAT,88.93409090909091
IDAHO,2020,CORN,198.6916666666667
IDAHO,2020,WHEAT,97.18541666666665
IDAHO,2021,CORN,212.83
IDAHO,2021,WHEAT,79.7279069767442
IDAHO,2022,CORN,200.14375
IDAHO,2022,WHEAT,95.03783783783784
IDAHO,2023,CORN,200.04999999999998
IDAHO,2023,WHEAT,89.89512195121951
IDAHO,2024,CORN,208.07777777777778
IDAHO,2025,WHEAT,87.14666666666668
ILLINOIS,2010,CORN,151.576
ILLINOIS,2010,SOYBEANS,49.853465346534655
ILLINOIS,2010,WHEAT,58.553030303030305
ILLINOIS,2011,CORN,149.84646464646463
ILLINOIS,2011,SOYBEANS,47.02020202020202
ILLINOIS,2011,WHEAT,64.12162162162163
ILLINOIS,2012,CORN,91.44315789473684
ILLINOIS,2012,SOYBEANS,41.823232323232325
ILLINOIS,2012,WHEAT,66.88133333333334
ILLINOIS,2013,CORN,173.69270833333334
ILLINOIS,2013,SOYBEANS,49.30520833333333
ILLINOIS,2013,WHEAT,65.43243243243244
ILLINOIS,2014,CORN,194.59285714285713
ILLINOIS,2014,SOYBEANS,54.473469387755095
ILLINOIS,2014,WHEAT,66.82957746478873
ILLINOIS,2015,CORN,172.04255319148936
ILLINOIS,2015,SOYBEANS,54.765625
ILLINOIS,2015,WHEAT,65.84864864864865
ILLINOIS,2016,CORN,183.52812500000002
ILLINOIS,2016,SOYBEANS,57.521649484536084
ILLINOIS,2016,WHEAT,76.6842857142857
ILLINOIS,2017,CORN,190.63299999999998
ILLINOIS,2017,SOYBEANS,56.41919191919192
ILLINOIS,2017,WHEAT,77.07575757575758
ILLINOIS,2018,CORN,202.59111111111113
ILLINOIS,2018,SOYBEANS,61.7936170212766
ILLINOIS,2018,WHEAT,66.94931506849315
ILLINOIS,2019,CORN,175.8505747126437
ILLINOIS,2019,SOYBEANS,52.796428571428564
ILLINOIS,2019,WHEAT,66.70606060606062
ILLINOIS,2020,CORN,186.56799999999998
ILLINOIS,2020,SOYBEANS,58.961999999999996
ILLINOIS,2020,WHEAT,69.72465753424657
ILLINOIS,2021,CORN,199.5675
ILLINOIS,2021,SOYBEANS,62.95822784810127
ILLINOIS,2021,WHEAT,79.1530303030303
ILLINOIS,2022,CORN,204.35208333333333
ILLINOIS,2022,SOYBEANS,61.69893617021276
ILLINOIS,2022,WHEAT,80.49384615384616
ILLINOIS,2023,CORN,198.6358695652174
ILLINOIS,2023,SOYBEANS,61.68888888888889
ILLINOIS,2023,WHEAT,87.44909090909091
ILLINOIS,2024,CORN,207.3984126984127
ILLINOIS,2024,SOYBEANS,61.35322580645161
ILLINOIS,2024,WHEAT,89.44827586206897
ILLINOIS,2025,WHEAT,93.75
INDIANA,2010,CORN,151.34347826086957
INDIANA,2010,SOYBEANS,46.837777777777774
INDIANA,2010,WHEAT,59.2038961038961
INDIANA,2011,CORN,138.97701149425288
INDIANA,2011,SOYBEANS,43.73636363636364
INDIANA,2011,WHEAT,60.1536231884058
INDIANA,2012,CORN,91.58522727272727
INDIANA,2012,SOYBEANS,42.1876404494382
INDIANA,2012,WHEAT,65.36666666666666
INDIANA,2013,CORN,175.03333333333333
INDIANA,2013,SOYBEANS,50.78395061728395
INDIANA,2013,WHEAT,71.17460317460318
INDIANA,2014,CORN,185.36966292134832
INDIANA,2014,SOYBEANS,54.51222222222223
INDIANA,2014,WHEAT,75.09552238805969
INDIANA,2015,CORN,152.73181818181817
INDIANA,2015,SOYBEANS,49.86292134831461
INDIANA,2015,WHEAT,66.34776119402986
INDIANA,2016,CORN,166.71764705882353
INDIANA,2016,SOYBEANS,56.37093023255814
INDIANA,2016,WHEAT,79.19375
INDIANA,2017,CORN,177.43977272727273
INDIANA,2017,SOYBEANS,53.37444444444444
INDIANA,2017,WHEAT,71.37042253521128
INDIANA,2018,CORN,187.18117647058824
INDIANA,2018,SOYBEANS,56.11494252873563
INDIANA,2018,WHEAT,69.87333333333332
INDIANA,2019,CORN,162.01666666666665
INDIANA,2019,SOYBEANS,49.68125
INDIANA,2019,WHEAT,61.641935483870974
INDIANA,2020,CORN,184.36444444444444
INDIANA,2020,SOYBEANS,58.17078651685393
INDIANA,2020,WHEAT,68.9322033898305
INDIANA,2021,CORN,192.28108108108108
INDIANA,2021,SOYBEANS,58.82837837837838
INDIANA,2021,WHEAT,82.7925925925926
INDIANA,2022,CORN,187.34146341463415
INDIANA,2022,SOYBEANS,56.840476190476195
INDIANA,2022,WHEAT,80.74791666666667
INDIANA,2023,CORN,199.572
INDIANA,2023,SOYBEANS,59.62533333333333
INDIANA,2023,WHEAT,92.80178571428571
INDIANA,2024,CORN,192.85555555555555
INDIANA,2024,SOYBEANS,57.61621621621622
INDIANA,2025,WHEAT,88.36585365853658
IOWA,2010,CORN,143.3527777777778
IOWA,2010,SOYBEANS,50.43636363636364
IOWA,2011,CORN,133.71984126984128
IOWA,2011,SOYBEANS,50.98787878787879
IOWA,2012,CORN,116.83571428571429
IOWA,2012,SOYBEANS,44.69595959595959
IOWA,2013,CORN,134.82166666666666
IOWA,2013,SOYBEANS,44.78181818181818
IOWA,2014,CORN,156.11913043478262
IOWA,2014,SOYBEANS,50.5959595959596
IOWA,2015,CORN,161.7104347826087
IOWA,2015,SOYBEANS,55.576530612244895
IOWA,2016,CORN,176.86929824561403
IOWA,2016,SOYBEANS,59.38686868686869
IOWA,2017,CORN,176.5183486238532
IOWA,2017,SOYBEANS,56.199999999999996
IOWA,2018,CORN,171.86146788990828
IOWA,2018,SOYBEANS,55.66288659793815
IOWA,2019,CORN,164.25495495495494
IOWA,2019,SOYBEANS,54.86818181818182
IOWA,2020,CORN,113.64810126582279
IOWA,2020,SOYBEANS,53.194252873563215
IOWA,2021,CORN,164.5575471698113
IOWA,2021,SOYBEANS,62.271428571428565
IOWA,2022,CORN,147.32814814814813
IOWA,2022,SOYBEANS,58.057142857142864
IOWA,2023,CORN,166.99722222222223
IOWA,2023,SOYBEANS,57.61807228915663
IOWA,2024,CORN,166.76701030927833
IOWA,2024,SOYBEANS,60.23478260869565
KANSAS,2010,CORN,121.27102272727274
KANSAS,2010,SOYBEANS,33.73222222222223
KANSAS,2010,WHEAT,44.09782608695652
KANSAS,2011,CORN,99.40441988950276
KANSAS,2011,SOYBEANS,27.31279069767442
KANSAS,2011,WHEAT,36.63921568627451
KANSAS,2012,CORN,91.67692307692307
KANSAS,2012,SOYBEANS,24.76625
KANSAS,2012,WHEAT,43.687681159420286
KANSAS,2013,CORN,124.86217948717949
KANSAS,2013,SOYBEANS,38.13461538461539
KANSAS,2013,WHEAT,38.44233576642336
KANSAS,2014,CORN,145.13311688311688
KANSAS,2014,SOYBEANS,37.15304347826087
KANSAS,2014,WHEAT,34.415
KANSAS,2015,CORN,144.28504672897196
KANSAS,2015,SOYBEANS,41.08395061728395
KANSAS,2015,WHEAT,38.904629629629625
KANSAS,2016,CORN,139.72592592592594
KANSAS,2016,SOYBEANS,50.58898305084746
KANSAS,2016,WHEAT,56.83271028037384
KANSAS,2017,CORN,131.9751633986928
KANSAS,2017,SOYBEANS,40.58815789473684
KANSAS,2017,WHEAT,49.584375
KANSAS,2018,CORN,128.96356589147285
KANSAS,2018,SOYBEANS,44.33387096774193
KANSAS,2018,WHEAT,40.14404761904762
KANSAS,2019,CORN,124.946875
KANSAS,2019,SOYBEANS,42.03928571428571
KANSAS,2019,WHEAT,49.39651162790698
KANSAS,2020,CORN,134.83956043956044
KANSAS,2020,SOYBEANS,43.2171052631579
KANSAS,2020,WHEAT,44.24947368421052
KANSAS,2021,CORN,141.28157894736842
KANSAS,2021,SOYBEANS,40.75
KANSAS,2021,WHEAT,51.10697674418604
KANSAS,2022,CORN,105.98518518518517
KANSAS,2022,SOYBEANS,28.48732394366197
KANSAS,2022,WHEAT,42.10568181818182
KANSAS,2023,CORN,116.34533333333333
KANSAS,2023,SOYBEANS,25.125423728813562
KANSAS,2023,WHEAT,41.35
KANSAS,2024,CORN,133.73666666666665
KANSAS,2024,SOYBEANS,33.785714285714285
KANSAS,2025,WHEAT,55.05555555555556
KENTUCKY,2010,CORN,122.16666666666667
KENTUCKY,2010,SOYBEANS,37.46708860759494
KENTUCKY,2010,WHEAT,58.983333333333334
KENTUCKY,2011,CORN,131.04505494505494
KENTUCKY,2011,SOYBEANS,38.59761904761905
KENTUCKY,2011,WHEAT,59.75645161290323
KENTUCKY,2012,CORN,72.56774193548387
KENTUCKY,2012,SOYBEANS,40.57654320987654
KENTUCKY,2012,WHEAT,57.892307692307696
KENTUCKY,2013,CORN,158.21875
KENTUCKY,2013,SOYBEANS,49.140625
KENTUCKY,2013,WHEAT,66.5125
KENTUCKY,2014,CORN,152.2061728395062
KENTUCKY,2014,SOYBEANS,48.687999999999995
KENTUCKY,2014,WHEAT,65.68076923076923
KENTUCKY,2015,CORN,162.1432098765432
KENTUCKY,2015,SOYBEANS,48.60875
KENTUCKY,2015,WHEAT,64.34888888888888
KENTUCKY,2016,CORN,153.87179487179486
KENTUCKY,2016,SOYBEANS,49.034666666666666
KENTUCKY,2016,WHEAT,69.93695652173913
KENTUCKY,2017,CORN,167.21625
KENTUCKY,2017,SOYBEANS,52.6972602739726
KENTUCKY,2017,WHEAT,69.67804878048781
KENTUCKY,2018,CORN,169.62266666666667
KENTUCKY,2018,SOYBEANS,50.38125
KENTUCKY,2018,WHEAT,60.920588235294126
KENTUCKY,2019,CORN,156.5515625
KENTUCKY,2019,SOYBEANS,43.992753623188406
KENTUCKY,2019,WHEAT,68.12702702702703
KENTUCKY,2020,CORN,168.82738095238096
KENTUCKY,2020,SOYBEANS,53.28915662650602
KENTUCKY,2020,WHEAT,54.6125
KENTUCKY,2021,CORN,176.91176470588235
KENTUCKY,2021,SOYBEANS,54.17368421052631
KENTUCKY,2021,WHEAT,80.37941176470588
KENTUCKY,2022,CORN,152.93703703703704
KENTUCKY,2022,SOYBEANS,51.7536231884058
KENTUCKY,2022,WHEAT,72.78
KENTUCKY,2023,CORN,183.32972972972973
KENTUCKY,2023,SOYBEANS,54.05238095238096
KENTUCKY,2023,WHEAT,85.4054054054054
KENTUCKY,2024,CORN,160.93166666666667
KENTUCKY,2024,SOYBEANS,46.73090909090909
KENTUCKY,2025,WHEAT,72.80416666666666
LOUISIANA,2010,CORN,131.20526315789473
LOUISIANA,2010,SOYBEANS,38.94242424242424
LOUISIANA,2011,CORN,116.81904761904761
LOUISIANA,2011,SOYBEANS,32.2969696969697
LOUISIANA,2012,CORN,158.55
LOUISIANA,2012,SOYBEANS,42.381818181818176
LOUISIANA,2013,CORN,170.69411764705885
LOUISIANA,2013,SOYBEANS,46.88076923076923
LOUISIANA,2014,CORN,177.51666666666668
LOUISIANA,2014,SOYBEANS,51.208333333333336
LOUISIANA,2015,CORN,159.53684210526316
LOUISIANA,2015,SOYBEANS,35.87027027027027
LOUISIANA,2016,CORN,157.5421052631579
LOUISIANA,2016,SOYBEANS,42.580555555555556
LOUISIANA,2017,CORN,177.12727272727273
LOUISIANA,2017,SOYBEANS,47.625
LOUISIANA,2018,CORN,157.6
LOUISIANA,2018,SOYBEANS,44.50967741935484
LOUISIANA,2019,CORN,157.35
LOUISIANA,2019,SOYBEANS,43.55806451612903
LOUISIANA,2020,CORN,173.535
LOUISIANA,2020,SOYBEANS,47.69642857142857
LOUISIANA,2021,CORN,167.51
LOUISIANA,2021,SOYBEANS,46.43928571428571
LOUISIANA,2022,CORN,154.17727272727274
LOUISIANA,2022,SOYBEANS,43.68571428571429
LOUISIANA,2023,CORN,165.1888888888889
LOUISIANA,2023,SOYBEANS,36.104
LOUISIANA,2024,CORN,176.745
LOUISIANA,2024,SOYBEANS,47.440909090909095
MARYLAND,2010,CORN,99.0391304347826
MARYLAND,2010,SOYBEANS,33.663636363636364
MARYLAND,2010,WHEAT,59.94375
MARYLAND,2011,CORN,107.56818181818181
MARYLAND,2011,SOYBEANS,39.33809523809524
