year,state,latitude,longitude,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
201001,Ohio,40.417,-82.907,-4.52,7.45,-17.9,1.06,87.55,5.77,3.68
201002,Ohio,40.417,-82.907,-3.87,4.71,-13.22,1.47,89.54,7.65,3.27
201003,Ohio,40.417,-82.907,4.84,19.75,-5.99,1.96,78.54,14.2,2.99
201004,Ohio,40.417,-82.907,12.49,26.9,-0.89,1.72,71.07,19.38,3.46
201005,Ohio,40.417,-82.907,17.38,29.7,1.2,3.88,75.7,20.45,3.0
201006,Ohio,40.417,-82.907,22.2,30.12,9.87,4.97,79.72,21.07,2.61
201007,Ohio,40.417,-82.907,24.34,33.95,11.0,2.69,71.76,23.91,2.08
201008,Ohio,40.417,-82.907,24.24,34.01,10.84,1.95,66.83,20.28,1.77
201009,Ohio,40.417,-82.907,18.97,33.58,7.24,1.57,63.47,16.62,2.83
201010,Ohio,40.417,-82.907,12.03,29.51,0.02,1.21,65.09,12.02,3.08
201011,Ohio,40.417,-82.907,4.82,20.97,-7.42,3.77,73.49,8.76,2.9
201012,Ohio,40.417,-82.907,-4.77,12.17,-15.27,0.55,85.73,4.78,3.49
201013,Ohio,40.417,-82.907,10.76,34.01,-17.9,2.23,75.64,14.61,2.93
201101,Ohio,40.417,-82.907,-5.53,10.08,-18.33,0.94,84.67,5.27,3.17
201102,Ohio,40.417,-82.907,-2.52,15.45,-20.73,3.7,86.73,7.95,3.99
201103,Ohio,40.417,-82.907,2.92,19.42,-6.03,3.13,80.36,12.53,3.77
201104,Ohio,40.417,-82.907,10.57,26.29,-1.98,5.12,81.2,12.9,4.32
201105,Ohio,40.417,-82.907,16.01,30.15,0.88,5.38,85.1,17.66,2.79
201106,Ohio,40.417,-82.907,20.77,29.07,9.7,2.58,80.09,21.91,2.39
201107,Ohio,40.417,-82.907,24.61,32.33,14.53,3.56,79.87,23.65,1.7
201108,Ohio,40.417,-82.907,21.93,30.39,11.51,3.23,74.19,21.14,1.98
201109,Ohio,40.417,-82.907,17.15,34.83,4.41,5.02,79.8,12.65,2.53
201110,Ohio,40.417,-82.907,10.78,25.5,-1.33,3.15,78.78,10.02,2.75
201111,Ohio,40.417,-82.907,6.87,19.24,-5.39,4.24,82.9,7.14,3.98
201112,Ohio,40.417,-82.907,1.06,13.47,-7.9,3.83,89.79,5.0,3.1
201113,Ohio,40.417,-82.907,10.45,34.83,-20.73,3.65,81.93,13.19,3.03
201201,Ohio,40.417,-82.907,-1.36,12.22,-13.83,2.34,88.15,5.44,4.38
201202,Ohio,40.417,-82.907,0.24,18.62,-10.44,1.49,86.78,9.1,3.47
201203,Ohio,40.417,-82.907,9.8,26.23,-5.11,2.23,83.83,13.69,3.68
201204,Ohio,40.417,-82.907,9.33,24.99,-1.54,1.9,74.64,18.35,3.54
201205,Ohio,40.417,-82.907,18.39,30.55,4.06,2.46,76.05,23.49,2.35
201206,Ohio,40.417,-82.907,21.16,36.66,8.7,1.66,68.61,25.37,2.59
201207,Ohio,40.417,-82.907,26.0,38.1,15.04,2.34,63.89,22.37,2.08
201208,Ohio,40.417,-82.907,22.76,35.12,12.1,2.32,62.03,20.97,1.9
201209,Ohio,40.417,-82.907,17.13,31.01,3.41,4.85,72.99,14.81,2.17
201210,Ohio,40.417,-82.907,10.19,24.88,-0.82,3.44,77.79,10.09,3.56
201211,Ohio,40.417,-82.907,2.95,18.66,-5.29,0.67,79.43,8.58,2.36
201212,Ohio,40.417,-82.907,2.1,17.05,-7.03,2.87,88.37,3.99,3.41
201213,Ohio,40.417,-82.907,11.61,38.1,-13.83,2.39,76.86,14.69,2.96
201301,Ohio,40.417,-82.907,-1.88,15.46,-14.92,2.01,84.33,6.17,4.13
201302,Ohio,40.417,-82.907,-2.58,8.25,-12.67,1.42,83.1,7.38,3.92
201303,Ohio,40.417,-82.907,0.35,15.92,-9.92,2.05,80.73,11.5,3.57
201304,Ohio,40.417,-82.907,9.61,26.08,-5.36,3.74,77.09,16.31,3.62
201305,Ohio,40.417,-82.907,16.76,27.73,0.12,1.86,77.42,21.08,3.09
201306,Ohio,40.417,-82.907,20.57,30.38,8.61,3.77,78.35,21.37,2.5
201307,Ohio,40.417,-82.907,21.96,30.94,10.34,5.38,83.31,19.71,2.12
201308,Ohio,40.417,-82.907,21.27,31.3,9.23,1.6,74.84,19.68,1.79
201309,Ohio,40.417,-82.907,18.05,34.13,4.36,2.07,72.07,15.93,2.17
201310,Ohio,40.417,-82.907,11.9,27.6,-2.37,3.33,77.72,10.91,2.55
201311,Ohio,40.417,-82.907,2.71,16.13,-8.13,1.49,77.78,7.19,3.67
201312,Ohio,40.417,-82.907,-1.49,16.56,-14.3,2.86,84.26,4.95,3.57
201313,Ohio,40.417,-82.907,9.84,34.13,-14.92,2.64,79.25,13.55,3.05
201401,Ohio,40.417,-82.907,-7.1,6.34,-22.98,1.24,83.28,5.52,4.74
201402,Ohio,40.417,-82.907,-5.99,12.86,-19.94,1.7,84.76,10.01,3.63
201403,Ohio,40.417,-82.907,0.03,16.94,-14.48,1.19,77.42,13.93,3.87
201404,Ohio,40.417,-82.907,10.01,23.97,-5.98,4.58,75.19,17.27,3.71
201405,Ohio,40.417,-82.907,15.95,28.14,2.02,2.88,77.06,20.59,2.71
201406,Ohio,40.417,-82.907,21.11,29.4,7.77,4.75,79.48,21.42,2.36
201407,Ohio,40.417,-82.907,20.73,31.2,10.59,1.99,74.61,21.05,2.19
201408,Ohio,40.417,-82.907,22.26,31.47,8.54,2.76,70.32,19.89,1.93
201409,Ohio,40.417,-82.907,18.0,31.64,5.38,1.54,68.63,16.34,2.15
201410,Ohio,40.417,-82.907,11.4,28.22,1.03,1.64,75.97,9.23,3.12
201411,Ohio,40.417,-82.907,1.85,19.15,-11.63,1.25,74.45,6.69,3.93
201412,Ohio,40.417,-82.907,0.32,13.89,-10.18,1.65,83.84,4.42,3.16
201413,Ohio,40.417,-82.907,9.13,31.64,-22.98,2.26,77.05,13.88,3.12
201501,Ohio,40.417,-82.907,-5.0,9.25,-19.99,1.89,81.86,6.27,3.78
201502,Ohio,40.417,-82.907,-8.33,7.33,-20.78,1.09,80.63,10.11,3.74
201503,Ohio,40.417,-82.907,1.6,18.94,-15.47,2.39,78.71,13.29,3.29
201504,Ohio,40.417,-82.907,10.08,23.74,-4.83,3.29,74.32,16.48,3.57
201505,Ohio,40.417,-82.907,18.12,29.2,3.63,2.85,75.68,20.75,2.85
201506,Ohio,40.417,-82.907,20.78,30.66,7.62,5.68,81.8,18.08,2.76
201507,Ohio,40.417,-82.907,21.77,31.6,11.34,2.55,78.86,20.73,2.0
201508,Ohio,40.417,-82.907,21.34,31.16,10.48,1.89,70.92,20.72,1.95
201509,Ohio,40.417,-82.907,20.28,32.94,8.05,1.8,69.13,16.73,2.15
201510,Ohio,40.417,-82.907,12.09,26.14,-1.08,2.15,69.5,11.45,3.13
201511,Ohio,40.417,-82.907,7.52,24.51,-5.73,1.71,72.91,8.34,3.29
201512,Ohio,40.417,-82.907,5.23,20.5,-5.06,3.25,85.28,4.42,3.57
201513,Ohio,40.417,-82.907,10.56,32.94,-20.78,2.55,76.62,13.97,3.0
201601,Ohio,40.417,-82.907,-3.33,13.09,-16.66,1.0,82.7,6.04,4.07
201602,Ohio,40.417,-82.907,-0.25,18.46,-15.97,2.2,81.27,9.37,4.13
201603,Ohio,40.417,-82.907,7.11,21.91,-6.45,3.63,80.63,11.94,3.79
201604,Ohio,40.417,-82.907,8.95,25.68,-6.04,2.72,76.0,16.73,3.66
201605,Ohio,40.417,-82.907,14.96,28.36,-0.23,2.25,78.32,19.53,2.62
201606,Ohio,40.417,-82.907,21.56,31.66,7.53,2.65,71.77,24.42,2.52
201607,Ohio,40.417,-82.907,24.6,34.51,12.78,1.35,70.36,21.62,1.91
201608,Ohio,40.417,-82.907,25.13,34.31,13.35,2.82,70.28,19.95,2.03
201609,Ohio,40.417,-82.907,21.05,33.62,8.0,2.98,68.47,16.88,2.21
201610,Ohio,40.417,-82.907,13.75,27.81,2.37,2.02,73.74,12.06,2.99
201611,Ohio,40.417,-82.907,6.93,25.45,-5.54,0.87,76.58,8.01,3.03
201612,Ohio,40.417,-82.907,-2.43,17.83,-17.2,2.22,83.64,4.33,3.56
201613,Ohio,40.417,-82.907,11.53,34.51,-17.2,2.23,76.15,14.24,3.04
201701,Ohio,40.417,-82.907,0.17,16.57,-13.47,2.98,84.16,4.84,3.84
201702,Ohio,40.417,-82.907,3.62,21.85,-11.76,1.89,81.21,9.42,3.99
201703,Ohio,40.417,-82.907,3.73,21.75,-11.71,2.61,77.99,12.41,4.15
201704,Ohio,40.417,-82.907,13.01,25.94,-2.85,2.72,77.17,17.11,3.71
201705,Ohio,40.417,-82.907,15.16,28.28,-1.05,4.24,77.12,19.56,3.29
201706,Ohio,40.417,-82.907,20.74,30.63,8.97,3.41,75.39,22.86,2.82
201707,Ohio,40.417,-82.907,22.49,30.25,12.35,4.73,80.44,21.04,2.14
201708,Ohio,40.417,-82.907,21.12,30.78,10.22,1.29,72.01,19.69,1.98
201709,Ohio,40.417,-82.907,19.21,33.26,6.75,1.33,68.46,15.98,1.98
201710,Ohio,40.417,-82.907,13.56,28.77,-2.28,2.76,72.2,10.86,2.83
201711,Ohio,40.417,-82.907,4.26,21.14,-6.41,4.94,81.32,7.03,3.42
201712,Ohio,40.417,-82.907,-2.91,11.93,-18.13,1.13,82.18,5.43,3.46
201713,Ohio,40.417,-82.907,11.21,33.26,-18.13,2.84,77.46,13.87,3.13
201801,Ohio,40.417,-82.907,-4.63,11.63,-20.05,1.7,86.62,6.71,3.97
201802,Ohio,40.417,-82.907,1.07,21.57,-13.09,5.22,85.97,7.52,3.82
201803,Ohio,40.417,-82.907,1.05,16.11,-6.87,2.39,79.64,13.67,3.73
201804,Ohio,40.417,-82.907,6.23,23.22,-6.33,3.81,78.16,16.62,3.36
201805,Ohio,40.417,-82.907,19.53,30.98,5.36,2.79,80.12,21.18,2.79
201806,Ohio,40.417,-82.907,21.67,31.26,8.24,3.36,82.14,20.6,2.41
201807,Ohio,40.417,-82.907,23.01,32.28,12.45,2.19,74.0,22.76,1.88
201808,Ohio,40.417,-82.907,23.34,33.08,11.0,2.72,75.51,18.76,2.23
201809,Ohio,40.417,-82.907,20.63,34.56,6.58,3.82,78.9,13.78,2.3
201810,Ohio,40.417,-82.907,12.07,30.08,-2.12,2.54,78.68,10.29,3.11
201811,Ohio,40.417,-82.907,1.53,13.65,-7.93,4.1,86.38,5.45,3.04
201812,Ohio,40.417,-82.907,0.32,16.57,-9.18,2.81,89.93,5.03,3.06
201813,Ohio,40.417,-82.907,10.54,34.56,-20.05,3.1,81.3,13.57,2.97
201901,Ohio,40.417,-82.907,-3.94,13.94,-24.16,1.59,85.0,5.87,4.13
201902,Ohio,40.417,-82.907,-0.79,16.52,-14.03,3.47,86.1,7.96,4.09
201903,Ohio,40.417,-82.907,1.49,20.97,-15.06,3.01,80.55,11.89,3.56
201904,Ohio,40.417,-82.907,10.42,22.85,-8.31,3.55,81.59,15.16,3.38
201905,Ohio,40.417,-82.907,16.69,28.6,3.73,3.63,82.88,18.44,2.91
201906,Ohio,40.417,-82.907,19.96,30.11,7.2,5.95,81.68,21.09,2.74
201907,Ohio,40.417,-82.907,23.75,30.95,13.42,3.12,81.04,23.53,1.92
201908,Ohio,40.417,-82.907,21.7,31.44,11.06,2.19,76.67,19.95,2.11
201909,Ohio,40.417,-82.907,21.08,32.76,10.21,1.56,72.12,17.24,2.21
201910,Ohio,40.417,-82.907,13.17,32.18,-0.08,2.73,71.6,11.68,2.99
201911,Ohio,40.417,-82.907,1.88,13.2,-9.11,0.87,78.32,7.58,3.05
201912,Ohio,40.417,-82.907,1.19,16.22,-12.52,2.24,85.74,5.26,3.51
201913,Ohio,40.417,-82.907,10.61,32.76,-24.16,2.82,80.25,13.84,3.04
202001,Ohio,40.417,-82.907,0.24,17.63,-11.9,3.16,84.77,4.94,3.6
202002,Ohio,40.417,-82.907,-1.06,14.79,-14.35,2.12,85.41,7.94,3.56
202003,Ohio,40.417,-82.907,5.97,21.46,-8.2,4.26,83.05,10.48,3.62
202004,Ohio,40.417,-82.907,8.04,21.74,-4.29,2.88,78.3,15.98,3.47
202005,Ohio,40.417,-82.907,14.35,29.54,-4.23,3.82,79.22,18.97,3.12
202006,Ohio,40.417,-82.907,20.87,30.47,5.43,2.2,76.76,24.18,2.47
202007,Ohio,40.417,-82.907,24.8,32.94,15.14,1.81,70.26,23.81,1.9
202008,Ohio,40.417,-82.907,22.76,32.75,11.65,2.77,69.53,20.3,1.95
202009,Ohio,40.417,-82.907,18.06,29.52,4.43,3.22,71.56,16.19,2.45
202010,Ohio,40.417,-82.907,11.32,25.22,-3.31,3.31,76.03,9.68,2.71
202011,Ohio,40.417,-82.907,6.51,23.6,-5.31,2.64,78.2,8.19,3.52
202012,Ohio,40.417,-82.907,-0.38,14.14,-10.65,1.26,85.59,4.92,3.5
202013,Ohio,40.417,-82.907,11.0,32.94,-14.35,2.79,78.21,13.8,2.99
202101,Ohio,40.417,-82.907,-1.96,5.26,-12.03,1.55,86.17,5.19,3.19
202102,Ohio,40.417,-82.907,-5.06,14.08,-17.45,1.41,88.97,10.2,3.69
202103,Ohio,40.417,-82.907,5.83,21.08,-6.76,1.83,74.64,15.95,3.87
202104,Ohio,40.417,-82.907,10.12,25.96,-5.82,2.0,74.81,17.57,3.22
202105,Ohio,40.417,-82.907,14.97,28.64,-0.42,3.35,72.05,20.28,2.56
202106,Ohio,40.417,-82.907,22.0,33.01,9.29,2.79,75.92,21.36,2.6
202107,Ohio,40.417,-82.907,22.78,32.81,12.83,3.97,74.33,20.12,2.16
202108,Ohio,40.417,-82.907,23.94,34.09,12.68,2.91,71.54,19.17,1.83
202109,Ohio,40.417,-82.907,19.4,31.78,6.89,2.6,69.15,16.52,2.71
202110,Ohio,40.417,-82.907,15.27,28.4,1.78,3.29,79.11,10.28,2.64
202111,Ohio,40.417,-82.907,3.41,19.2,-6.15,1.31,78.6,8.09,3.03
202112,Ohio,40.417,-82.907,3.14,17.34,-7.33,3.51,84.84,5.18,3.39
202113,Ohio,40.417,-82.907,11.26,34.09,-17.45,2.56,77.45,14.17,2.9
202201,Ohio,40.417,-82.907,-5.08,11.05,-15.57,1.37,83.88,6.46,3.84
202202,Ohio,40.417,-82.907,-2.2,14.63,-14.91,4.01,85.72,9.77,4.19
202203,Ohio,40.417,-82.907,4.97,20.74,-11.11,2.41,79.75,12.43,3.91
202204,Ohio,40.417,-82.907,8.53,26.62,-3.79,2.49,78.6,16.76,3.62
202205,Ohio,40.417,-82.907,17.24,29.57,2.88,4.13,78.88,20.52,3.1
202206,Ohio,40.417,-82.907,20.92,31.67,8.84,2.69,73.06,25.12,2.29
202207,Ohio,40.417,-82.907,23.05,31.87,13.51,4.61,75.21,21.74,2.13
202208,Ohio,40.417,-82.907,22.57,32.42,11.57,2.41,72.95,18.91,2.03
202209,Ohio,40.417,-82.907,18.43,32.28,3.85,2.55,72.92,14.33,2.26
202210,Ohio,40.417,-82.907,10.77,24.75,-1.27,0.87,64.52,12.44,3.14
202211,Ohio,40.417,-82.907,5.6,23.49,-7.58,1.69,70.07,7.9,3.42
202212,Ohio,40.417,-82.907,-0.47,13.06,-20.63,1.14,79.36,4.73,3.56
202213,Ohio,40.417,-82.907,10.43,32.42,-20.63,2.52,76.19,14.28,3.12
202301,Ohio,40.417,-82.907,0.71,15.9,-10.0,3.15,86.44,4.72,3.35
202302,Ohio,40.417,-82.907,2.29,20.85,-12.89,1.95,74.81,10.3,4.09
202303,Ohio,40.417,-82.907,3.5,19.51,-7.32,3.9,77.65,12.55,3.94
202304,Ohio,40.417,-82.907,10.41,25.69,-3.7,2.29,73.41,17.7,3.23
202305,Ohio,40.417,-82.907,15.06,28.26,1.23,1.74,70.9,22.44,2.66
202306,Ohio,40.417,-82.907,19.5,30.68,7.32,3.08,68.88,20.64,2.44
202307,Ohio,40.417,-82.907,23.63,33.21,14.5,3.49,72.04,21.3,1.93
202308,Ohio,40.417,-82.907,21.89,32.74,9.62,4.18,70.19,19.39,2.17
202309,Ohio,40.417,-82.907,19.25,33.21,8.11,0.5,70.91,15.51,1.77
202310,Ohio,40.417,-82.907,12.75,30.71,-2.75,2.21,71.22,10.37,2.73
202311,Ohio,40.417,-82.907,5.14,21.26,-6.8,1.43,70.36,8.79,3.15
202312,Ohio,40.417,-82.907,3.27,16.16,-5.15,1.74,82.23,4.67,2.92
202313,Ohio,40.417,-82.907,11.5,33.21,-12.89,2.48,74.12,14.04,2.86
